,categoria,países,quantidade (kg),valor (us$)
0,,África do Sul,-,-
1,,"Alemanha, República Democrática da",12,24
2,,Angola,-,-
3,,Antígua e Barbuda,95,99
4,,Antilhas Holandesas,-,-
5,,Arábia Saudita,-,-
6,,Argélia,-,-
7,,Argentina,3.504,3.327
8,,Aruba,-,-
9,,Austrália,480,1.664
10,,Áustria,-,-
11,,Bahamas,168,169
12,,Bangladesh,-,-
13,,Barbados,-,-
14,,Barein,-,-
15,,Bélgica,24,19
16,,Belize,-,-
17,,Benin,-,-
18,,Bermudas,-,-
19,,Birmânia,-,-
20,,Bolívia,-,-
21,,Brasil,-,-
22,,Bulgária,-,-
23,,Cabo Verde,126,236
24,,Camarões,-,-
25,,Canadá,-,-
26,,Catar,-,-
27,,"Cayman, Ilhas",-,-
28,,Chile,-,-
29,,China,6,7
30,,Chipre,138,196
31,,Cingapura,676,674
32,,Colômbia,-,-
33,,Congo,-,-
34,,Coreia do Sul,-,-
35,,Costa do Marfim,-,-
36,,Costa Rica,-,-
37,,Coveite,-,-
38,,Cuba,-,-
39,,Curaçao,-,-
40,,Dinamarca,84,118
41,,"Dominica, Ilha de",-,-
42,,El Salvador,-,-
43,,Emirados Árabes Unidos,-,-
44,,Equador,-,-
45,,Espanha,-,-
46,,Estados Unidos,455,1.963
47,,Falkland (Malvinas),-,-
48,,Filipinas,-,-
49,,Finlândia,-,-
50,,França,-,-
51,,Gabão,-,-
52,,Gana,-,-
53,,Gibraltar,-,-
54,,Granada,-,-
55,,Grécia,66,58
56,,Guatemala,-,-
57,,Guiana,-,-
58,,Guiana Francesa,-,-
59,,Guiné Bissau,-,-
60,,Guine Equatorial,-,-
61,,Haiti,-,-
62,,Hong Kong,818,772
63,,Hungria,-,-
64,,Ilha de Man,72,59
65,,India,66,83
66,,Indonésia,-,-
67,,Irã,-,-
68,,Iraque,-,-
69,,Irlanda,-,-
70,,Israel,-,-
71,,Itália,-,-
72,,Iugoslâvia,-,-
73,,Jamaica,-,-
74,,Japão,1.381.569,3.277.767
75,,Líbano,-,-
76,,Libéria,520,638
77,,Líbia,207.360,121.731
78,,Luxemburgo,-,-
79,,Malásia,9.275,24.115
80,,Malta,276,277
81,,"Marshall, Ilhas",817,948
82,,Mauritânia,-,-
83,,México,24.602,67.789
84,,Moçambique,-,-
85,,Mônaco,-,-
86,,Montenegro,-,-
87,,Namíbia,-,-
88,,Nigéria,-,-
89,,Noruega,-,-
90,,Nova Caledônia,-,-
91,,Nova Zelândia,-,-
92,,Países Baixos,144,151
93,,Panamá,691,801
94,,Paquistão,-,-
95,,Paraguai,23.723,24.609
96,,Peru,-,-
97,,Polônia,-,-
98,,Porto Rico,-,-
99,,Portugal,24,24
100,,Quênia,-,-
101,,Reino Unido,672,1.773
102,,República Centro Africana,-,-
103,,República Dominicana,29.680,113.080
104,,República Federativa da Rússia,-,-
105,,Rússia,72,83
106,,São Tomé e Príncipe,-,-
107,,Senegal,-,-
108,,Serra Leoa,-,-
109,,Singapura,-,-
110,,Sri Lanka,49,142
111,,Suécia,-,-
112,,Suíça,-,-
113,,Suriname,3.180,8.586
114,,Tailândia,84,82
115,,Taiwan (Formosa),-,-
116,,Tanzânia,-,-
117,,"Tcheca, República",-,-
118,,Togo,-,-
119,,Toquelau,-,-
120,,Trinidade e Tobago,-,-
121,,Turquia,24,30
122,,Uruguai,-,-
123,,Vanuatu,-,-
124,,Venezuela,-,-
