,categoria,países,quantidade (kg),valor (us$)
0,,Africa do Sul,8,30
1,,"Alemanha, República Democrática",1.863.097,3.480.290
2,,Angola,75,145
3,,Antígua e Barbuda,190,580
4,,Arabia Saudita,167.731,271.231
5,,Argélia,-,-
6,,Argentina,1.186.878,1.758.528
7,,Áustria,-,-
8,,Bahamas,2.869,9.184
9,,Bahrein,-,-
10,,Bangladesh,-,-
11,,Barbados,110,354
12,,Barein,958,3.353
13,,Bélgica,176.918,336.252
14,,Belize,20,48
15,,Bermudas,228,1.047
16,,Bolívia,-,-
17,,Bósnia,52,67
18,,Brasil,18,62
19,,Bulgária,-,-
20,,Burquina Faso,10,37
21,,Cabo Verde,-,-
22,,Camarões,-,-
23,,Camores,20,75
24,,Canadá,24.565,220.025
25,,Catar,81,298
26,,"Cayman, Ilhas",216,638
27,,Chile,189,457
28,,China,1.113,3.171
29,,Chipre,2.173,6.326
30,,Cingapura,7.081,23.803
31,,"Cocos (Keeling), Ilhas",-,-
32,,"Cook, Ilhas",-,-
33,,Colômbia,-,-
34,,Congo,-,-
35,,Coreia do Norte,-,-
36,,Coreia do Sul,270,620
37,,Costa do Marfim,16,34
38,,Coveite,-,-
39,,Croácia,-,-
40,,Curaçao,-,-
41,,Dinamarca,56.095,130.520
42,,Djibuti,-,-
43,,Egito,20,97
44,,Emirados Árabes Unidos,240.422,697.259
45,,Eslovênia,-,-
46,,Espanha,1.094.483,2.089.713
47,,Estados Unidos,6.117.999,16.239.149
48,,Falkland (Ilhas Malvinas),20,69
49,,"Faroé, Ilhas",-,-
50,,Filipinas,594,1.849
51,,Finlândia,-,-
52,,França,3.091,12.062
53,,Gabão,-,-
54,,Gana,-,-
55,,Georgia,26.928,56.010
56,,Gibraltar,231,755
57,,Grécia,2.650,7.171
58,,Guadalupe,-,-
59,,Guiana,-,-
60,,Guiana Francesa,-,-
61,,Guiné-Bissau,-,-
62,,Guine Equatorial,-,-
63,,Honduras,-,-
64,,Hong Kong,18.566,118.440
65,,Ilha de Man,150,440
66,,Ilhas Virgens,-,-
67,,Índia,560,1.634
68,,Indonésia,-,-
69,,Irã,509,1.013
70,,Iraque,-,-
71,,Irlanda,514.814,1.113.084
72,,Islândia,-,-
73,,Itália,154,387
74,,Japão,721,2.182
75,,Jérsei,24,58
76,,Jordânia,265,171
77,,Letônia,30,55
78,,Líbano,85,177
79,,Libéria,9.242,29.430
80,,Líbia,20,44
81,,Lituânia,-,-
82,,Luxemburgo,7,19
83,,Macedônia,-,-
84,,Malásia,20,58
85,,Malta,4.094,11.635
86,,"Marianas do Norte, Ilhas",-,-
87,,Marrocos,-,-
88,,"Marshall, Ilhas",9.668,30.841
89,,Martinica,-,-
90,,Mauricio,-,-
91,,Mauritânia,-,-
92,,Mexico,-,-
93,,Mônaco,20,29
94,,Mongólia,-,-
95,,Montenegro,-,-
96,,Nigéria,-,-
97,,Noruega,277.423,638.830
98,,Omã,60,193
99,,Países Baixos,19.526.035,36.061.578
100,,Palau,-,-
101,,Panamá,8.349,25.288
102,,Paquistão,-,-
103,,Paraguai,-,-
104,,Pitcairn,-,-
105,,Polônia,20,53
106,,Porto Rico,-,-
107,,Portugal,945,3.146
108,,Quirguistão,-,-
109,,Reino Unido,13.501.346,29.677.591
110,,Republica Dominicana,-,-
111,,Romênia,-,-
112,,"Rússia,  Federação da",48.084,101.082
113,,Samoa Americana,-,-
114,,São Cristóvão e Névis,-,-
115,,São Tomé e Príncipe,-,-
116,,São Vicente e Granadinas,-,-
117,,Serra Leoa,-,-
118,,Senegal,-,-
119,,Singapura,-,-
120,,Sri Lanka,32,80
121,,Suazilândia,-,-
122,,Suécia,72.036,156.611
123,,Suíça,472,3.661
124,,Suriname,-,-
125,,Tailândia,879,3.629
126,,Taiwan,-,-
127,,Tanzânia,-,-
128,,Togo,13,52
129,,Trindade e Tobago,-,-
130,,Tunísia,-,-
131,,"Turcas e Caicos, ilhas",10,23
132,,Turquia,485,1.399
133,,Tuvalu,6,23
134,,Uruguai,81.440,98.329
135,,Vanuatu,-,-
136,,Venezuela,-,-
137,,Vietnã,-,-
138,,"Wallis e Futuna, Ilhas",-,-
139,,Provisão de Navios e Aeronaves,-,-
