,categoria,países,quantidade (kg),valor (us$)
0,,África do Sul,-,-
1,,Alemanha,142,265
2,,Angola,-,-
3,,Antigua e Barbuda,10,82
4,,Antilhas Holandesas,-,-
5,,Argentina,-,-
6,,Aruba,-,-
7,,Australia,184,654
8,,Bahamas,179,461
9,,Bangladesh,1,28
10,,Barbados,4,58
11,,Belgica,-,-
12,,Benin,-,-
13,,Bermudas,-,-
14,,Bolívia,21.235,64.988
15,,Bósnia-Herzegovina,-,-
16,,Bulgaria,-,-
17,,Cabo Verde,2,12
18,,Camarões,-,-
19,,Canada,253,566
20,,Catar,5,964
21,,"Cayman, Ilhas",1,5
22,,Chile,72,361
23,,China,13.692,49.572
24,,Chipre,122,350
25,,Cingapura,-,-
26,,Colombia,10.280,37.207
27,,"Coreia do Sul, Republica da",82,200
28,,Costa Rica,-,-
29,,Cuba,-,-
30,,Curaçao,5.525,21.633
31,,Dinamarca,7,32
32,,Djibuti,-,-
33,,Dominica,204,505
34,,El Salvador,-,-
35,,Emirados Arabes Unidos,90,3.240
36,,Equador,-,-
37,,Espanha,-,-
38,,Estados Unidos,801.082,2.123.710
39,,Estonia,-,-
40,,Falkland (Malvinas),-,-
41,,Filipinas,-,-
42,,Filânldia,-,-
43,,França,1.015,5.366
44,,Gana,654,3.555
45,,Gibraltar,-,-
46,,Granada,-,-
47,,Grécia,147,360
48,,Guatemala,-,-
49,,Guiana,-,-
50,,Guiné Equatorial,-,-
51,,Guiné-Bissau,-,-
52,,Haiti,4.978,11.440
53,,Honduras,-,-
54,,Hong Kong,3.669,13.135
55,,Hungria,96,668
56,,Ilha de Man,-,-
57,,Índia,0,26
58,,Iraque,-,-
59,,Irlanda,-,-
60,,Islândia,-,-
61,,Itália,172,879
62,,Japão,6.811,27.860
63,,Jordânia,-,-
64,,Letônia,-,-
65,,Líbano,540,1.930
66,,Libéria,795,2.509
67,,Luxemburgo,-,-
68,,Maldivas,3.023,12.327
69,,Malta,364,2.289
70,,Marrocos,-,-
71,,"Marshall, Ilhas",1.057,4.087
72,,Montenegro,9,24
73,,México,-,-
74,,Nicarágua,-,-
75,,Nigéria,-,-
76,,Noruega,37,155
77,,Nova Zelândia,-,-
78,,Países Baixos (Holanda),86,479
79,,Panamá,1.639,4.514
80,,Paraguai,45.629,136.909
81,,Peru,-,-
82,,Polônia,-,-
83,,Porto Rico,-,-
84,,Portugal,21,135
85,,Quênia,-,-
86,,Reino Unido,7.130,45.041
87,,Republica Dominicana,-,-
88,,Republica Tcheca,-,-
89,,Rússia,-,-
90,,Serra Leoa,225,1.070
91,,Sérvia,-,-
92,,Singapura,525,926
93,,Suécia,-,-
94,,Suíça,1.074,4.739
95,,Suriname,880,4.202
96,,Tailândia,22,142
97,,Taiwan (Formosa),1.255,5.578
98,,"Tcheca, República",-,-
99,,Togo,-,-
100,,Trinidade e Tobago,-,-
101,,Turquia,74,258
102,,Uruguai,-,-
103,,Vanuatu,-,-
104,,Venezuela,-,-
105,,Vietnã,144,374
106,,Outros(1),-,-
