,categoria,países,quantidade (kg),valor (us$)
0,,Afeganistão,-,-
1,,África do Sul,-,-
2,,"Alemanha, República Democrática",36.070,144.150
3,,Angola,13.889,69.001
4,,Anguilla,-,-
5,,Antígua e Barbuda,-,-
6,,Antilhas Holandesas,7.335,10.188
7,,Arábia Saudita,-,-
8,,Argélia,-,-
9,,Argentina,13.253,55.460
10,,Aruba,900,1.680
11,,Austrália,3.632,40.704
12,,Áustria,-,-
13,,Bahamas,4.529,28.810
14,,Bangladesh,-,-
15,,Barbados,-,-
16,,Barein,-,-
17,,Bélgica,11.802,62.339
18,,Belice,-,-
19,,Benin,-,-
20,,Bermudas,-,-
21,,Bolívia,12.775,20.215
22,,Bósnia-Herzegovina,-,-
23,,Brasil,-,-
24,,Bulgária,-,-
25,,Cabo Verde,600,825
26,,Camarões,-,-
27,,Canadá,28.906,128.076
28,,Catar,-,-
29,,"Cayman, Ilhas",-,-
30,,Chile,-,-
31,,China,54.156,334.867
32,,Chipre,-,-
33,,Cingapura,911,3.317
34,,"Cocos (Keeling), Ilhas",-,-
35,,Colômbia,-,-
36,,Comores,-,-
37,,Congo,360,570
38,,"Coreia, Republica Sul",-,-
39,,Costa do Marfim,-,-
40,,Costa Rica,-,-
41,,Coveite (Kuweit),-,-
42,,Croácia,-,-
43,,Cuba,2.880,4.899
44,,Curaçao,-,-
45,,Dinamarca,32.797,83.057
46,,Dominica,-,-
47,,El Salvador,-,-
48,,Emirados Arabes Unidos,2.120,6.594
49,,Equador,-,-
50,,"Eslovaca, Republica",-,-
51,,Espanha,5.206,24.618
52,,Estados Unidos,306.787,1.030.254
53,,Estônia,450,5.336
54,,Filipinas,-,-
55,,Finlândia,12.404,50.394
56,,França,-,-
57,,Gabão,-,-
58,,Gana,-,-
59,,Gibraltar,-,-
60,,Granada,-,-
61,,Grécia,-,-
62,,Guatemala,-,-
63,,Guiana,-,-
64,,Guiana Francesa,-,-
65,,Guine Bissau,-,-
66,,Guine Equatorial,956,1.979
67,,Haiti,-,-
68,,Honduras,-,-
69,,Hong Kong,2.063,7.975
70,,Hungria,-,-
71,,Ilha de Man,-,-
72,,Ilhas Virgens,-,-
73,,Índia,-,-
74,,Indonésia,-,-
75,,Irã,-,-
76,,Iraque,-,-
77,,Irlanda,5.376,35.690
78,,Itália,11.999,80.298
79,,Jamaica,-,-
80,,Japão,100.835,144.662
81,,Jordânia,-,-
82,,Letônia,-,-
83,,Líbano,-,-
84,,Libéria,-,-
85,,Luxemburgo,9.547,65.592
86,,Macau,-,-
87,,Malásia,-,-
88,,Malavi,-,-
89,,Malta,-,-
90,,"Marshall, Ilhas",-,-
91,,Martinica,-,-
92,,Mauritânia,-,-
93,,México,1.350,7.200
94,,Moçambique,-,-
95,,Montenegro,-,-
96,,Namíbia,-,-
97,,Nicarágua,-,-
98,,Nigéria,54,210
99,,Noruega,10.268,78.688
100,,Nova Caledônia,-,-
101,,Nova Zelândia,2.587,7.992
102,,Omã,-,-
103,,Países Baixos,125.414,395.356
104,,Palau,-,-
105,,Panamá,-,-
106,,Paraguai,240.168,276.281
107,,Peru,-,-
108,,Pitcairn,-,-
109,,Polônia,11.732,50.684
110,,Porto Rico,-,-
111,,Portugal,95,1.031
112,,Quênia,-,-
113,,Reino Unido,122.629,285.642
114,,República Dominicana,-,-
115,,Rússia,-,-
116,,São Cristóvão e Névis,-,-
117,,São Tomé e Príncipe,-,-
118,,São Vicente e Granadinas,-,-
119,,Senegal,-,-
120,,Serra Leoa,-,-
121,,Sérvia,-,-
122,,Singapura,-,-
123,,Suazilândia,-,-
124,,Suécia,1.641,14.476
125,,Suíça,-,-
126,,Suriname,3.774,3.735
127,,Tailândia,-,-
128,,Taiwan (Formosa),4.500,10.600
129,,Tanzânia,-,-
130,,"Tcheca, República",6.846,37.271
131,,Togo,-,-
132,,Toquelau,-,-
133,,Trinidade Tobago,-,-
134,,Tunísia,-,-
135,,Turquia,-,-
136,,Tuvalu,-,-
137,,Uruguai,1.238,4.404
138,,Vanuatu,-,-
139,,Venezuela,-,-
140,,Vietnã,-,-
