,categoria,países,quantidade (kg),valor (us$)
0,,Africa do Sul,7.394,50.715
1,,Alemanha,3.420,8.275
2,,Argentina,358.510,1.240.249
3,,Austrália,19.182,32.115
4,,Áustria,-,-
5,,Bermudas,-,-
6,,Bahamas,60,688
7,,Bélgica,-,-
8,,Brasil,1.014,4.936
9,,Bulgária,-,-
10,,Canada,-,-
11,,Chile,117.678,523.242
12,,Croácia,-,-
13,,Cuba,-,-
14,,Emirados Árabes Unidos,2.371,38.954
15,,Eslovênia,2.115,9.486
16,,Espanha,864.154,3.249.876
17,,Estados Unidos,12.343,30.366
18,,França,1.171.383,12.017.375
19,,Geórgia,-,-
20,,Granada,-,-
21,,Grécia,-,-
22,,Hong Kong,-,-
23,,Hungria,1.238,5.927
24,,Indonésia,-,-
25,,Irlanda,-,-
26,,Israel,-,-
27,,Itália,1.089.617,3.467.993
28,,Japão,-,-
29,,Luxemburgo,-,-
30,,México,-,-
31,,Moldávia,-,-
32,,Nova Zelândia,-,-
33,,Países Baixos,-,-
34,,Panamá,-,-
35,,Peru,-,-
36,,Portugal,88.448,321.629
37,,Reino Unido,-,-
38,,Romênia,-,-
39,,Suíça,11,711
40,,Tunísia,-,-
41,,Ucrânia,1.739,2.423
42,,Uruguai,7.880,42.863
43,,Não consta na tabela,-,-
44,,Não declarados,-,-
45,,Outros,-,-
