,categoria,países,quantidade (kg),valor (us$)
0,,Africa do Sul,7.154,5.841
1,,Alemanha,6.540,75.902
2,,Argentina,59.028,80.898
3,,Austria,-,-
4,,Canadá,-,-
5,,"Coreia do Sul, República",30.022,44.524
6,,"Coreia do Norte, República",-,-
7,,Chile,94.940,183.525
8,,China,-,-
9,,Dinamarca,-,-
10,,Espanha,-,-
11,,Estados Unidos,68.730,108.205
12,,França,-,-
13,,Guiana,-,-
14,,Israel,1.200,1.656
15,,itália,774,1.594
16,,Japão,-,-
17,,Líbano,-,-
18,,México,-,-
19,,Países Baixos,-,-
20,,Panamá,-,-
21,,Peru,10.238,8.908
22,,Portugal,-,-
23,,Reino Unido,-,-
24,,Taiwan,-,-
25,,Turquia,-,-
26,,Uruguai,-,-
27,,Venezuela,-,-
28,,Outros,-,-
