,categoria,países,quantidade (kg),valor (us$)
0,,Afeganistão,400.000,669.059
1,,África do Sul,184.250,596.923
2,,"Alemanha, República Democrática",-,-
3,,Arábia Saudita,-,-
4,,Argentina,20.533.473,43.262.321
5,,Austrália,-,-
6,,Bélgica,-,-
7,,Chile,1.127.280,2.614.062
8,,China,-,-
9,,China Continental,19.200,51.100
10,,Cingapura,38.150,97.572
11,,Costa Rica,-,-
12,,Emirados,35.460,100.631
13,,Egito,-,-
14,,Espanha,-,-
15,,Estados Unidos,391.515,1.180.759
16,,França,-,-
17,,Grécia,4.095,25.496
18,,Guiana Britânica,-,-
19,,Índia,-,-
20,,Irã,533.570,1.250.450
21,,Itália,10,39
22,,Japão,-,-
23,,México,-,-
24,,Países Baixos,-,-
25,,Paraguai,-,-
26,,Peru,-,-
27,,Portugal,13,59
28,,Reino Unido,-,-
29,,Suécia,-,-
30,,Turquia,987.310,1.735.466
31,,Uruguai,-,-
32,,Uzbequistão,40.000,63.483
33,,Venezuela,-,-
34,,Não consta na tabela,-,-
35,,Outros,-,-
