,categoria,países,quantidade (kg),valor (us$)
0,,Africa do Sul,859.169,2.508.140
1,,Alemanha,106.541,546.967
2,,Argélia,-,-
3,,Arábia Saudita,2.510,8.761
4,,Argentina,26.869.241,79.527.959
5,,Armênia,-,-
6,,Austrália,366.875,1.383.093
7,,Áustria,13.427,141.822
8,,Bermudas,10,141
9,,Bélgica,-,-
10,,Bolívia,-,-
11,,Bósnia-Herzegovina,-,-
12,,Brasil,12.602,39.816
13,,Bulgária,34.185,105.623
14,,Canada,-,-
15,,Chile,69.617.587,182.568.098
16,,China,-,-
17,,"Coreia do Sul, República",-,-
18,,Croácia,17.343,78.954
19,,Cuba,-,-
20,,Emirados Árabes Unidos,-,-
21,,Eslovênia,42.944,172.141
22,,Eslováquia,-,-
23,,Espanha,8.793.911,23.795.616
24,,Estados Unidos,506.405,2.809.649
25,,França,6.241.310,31.428.188
26,,Geórgia,19.188,32.901
27,,"Geórgia do Sul e Sandwich do Sul, Ilhas",1.838,2.915
28,,Grécia,13.619,55.228
29,,Hong Kong,-,-
30,,Hungria,20.174,160.816
31,,Indonésia,-,-
32,,Irlanda,-,-
33,,Israel,60.281,298.732
34,,Itália,11.231.625,39.852.162
35,,Japão,-,-
36,,Iugoslávia,-,-
37,,Líbano,24.194,78.872
38,,Luxemburgo,-,-
39,,Macedônia,-,-
40,,Marrocos,986,6.958
41,,México,4,19
42,,Moldávia,25.998,66.480
43,,Montenegro,-,-
44,,Noruega,-,-
45,,Nova Zelândia,21.995,137.547
46,,Países Baixos (Holanda),-,-
47,,Panamá,-,-
48,,Paraguai,-,-
49,,Peru,-,-
50,,Porto Rico,-,-
51,,Portugal,25.925.363,75.668.823
52,,Reino Unido,1.164,9.357
53,,Republica Dominicana,-,-
54,,Romênia,33.770,99.562
55,,Rússia,32.179,64.905
56,,San Marino,1.095,2.237
57,,Sérvia,3.471,8.302
58,,Síria,484,1.280
59,,Suazilândia,-,-
60,,Suíça,7,157
61,,"Tcheca, República",225,5.528
62,,Tunísia,-,-
63,,Turquia,-,-
64,,Ucrânia,-,-
65,,Uruguai,3.788.831,10.063.341
66,,Não consta na tabela,-,-
67,,Não declarados,-,-
68,,Outros,-,-
