,categoria,produto,quantidade (l.)
0,VINHO DE MESA,VINHO DE MESA,257.840.749
1,VINHO DE MESA,Tinto,210.113.358
2,VINHO DE MESA,Branco,46.007.504
3,VINHO DE MESA,Rosado,1.719.887
4,VINHO FINO DE MESA (VINIFERA),VINHO FINO DE MESA (VINIFERA),47.598.471
5,VINHO FINO DE MESA (VINIFERA),Tinto,24.104.740
6,VINHO FINO DE MESA (VINIFERA),Branco,22.739.426
7,VINHO FINO DE MESA (VINIFERA),Rosado,754.305
8,SUCO,SUCO,69.364.324
9,SUCO,Suco de uva integral,39.487.800
10,SUCO,Suco de uva concentrado,29.564.324
11,SUCO,Suco de uva adoçado,312.200
12,SUCO,Suco de uva orgânico,-
13,SUCO,Suco de uva reconstituído,-
14,DERIVADOS,DERIVADOS,85.748.723
15,DERIVADOS,Espumante,26.361
16,DERIVADOS,Espumante moscatel,219.100
17,DERIVADOS,Base espumante,-
18,DERIVADOS,Base espumante moscatel,2.749.540
19,DERIVADOS,Base Champenoise champanha,74.746
20,DERIVADOS,Base Charmat champanha,865.858
21,DERIVADOS,Bebida de uva,-
22,DERIVADOS,Polpa de uva,2.480.120
23,DERIVADOS,Mosto simples,77.285.998
24,DERIVADOS,Mosto concentrado,-
25,DERIVADOS,Mosto de uva com bagaço,1.037.600
26,DERIVADOS,Mosto dessulfitado,-
27,DERIVADOS,Mistelas,-
28,DERIVADOS,Néctar de uva,-
29,DERIVADOS,Licorosos,-
30,DERIVADOS,Compostos,-
31,DERIVADOS,Jeropiga,-
32,DERIVADOS,Filtrado,-
33,DERIVADOS,Frisante,1.003.800
34,DERIVADOS,Vinho leve,-
35,DERIVADOS,Vinho licoroso,-
36,DERIVADOS,Brandy,-
37,DERIVADOS,Destilado,-
38,DERIVADOS,Bagaceira,-
39,DERIVADOS,Licor de bagaceira,-
40,DERIVADOS,Vinagre,-
41,DERIVADOS,Borra líquida,-
42,DERIVADOS,Borra seca,-
43,DERIVADOS,Vinho Composto,-
44,DERIVADOS,Pisco,-
45,DERIVADOS,Vinho orgânico,5.600
46,DERIVADOS,Espumante orgânico,-
47,DERIVADOS,Destilado alcoólico simples de bagaceira,-
48,DERIVADOS,Vinho acidificado,-
49,DERIVADOS,Mosto parcialmente fermentado,-
50,DERIVADOS,Outros derivados,-
