,tipo,categoria,pais_origem,pais_destino,ano,kg,valor
0,Vinhos de mesa,,Brasil,Afeganistão,2009,,
1,Vinhos de mesa,,Brasil,África do Sul,2009,,
2,Vinhos de mesa,,Brasil,"Alemanha, República Democrática",2009,225086.0,393482.0
3,Vinhos de mesa,,Brasil,Angola,2009,54786.0,84235.0
4,Vinhos de mesa,,Brasil,Anguilla,2009,,
5,Vinhos de mesa,,Brasil,Antígua e Barbuda,2009,,
6,Vinhos de mesa,,Brasil,Antilhas Holandesas,2009,8235.0,10651.0
7,Vinhos de mesa,,Brasil,Arábia Saudita,2009,,
8,Vinhos de mesa,,Brasil,Argélia,2009,,
9,Vinhos de mesa,,Brasil,Argentina,2009,162.0,4523.0
10,Vinhos de mesa,,Brasil,Aruba,2009,,
11,Vinhos de mesa,,Brasil,Austrália,2009,1014.0,9195.0
12,Vinhos de mesa,,Brasil,Áustria,2009,,
13,Vinhos de mesa,,Brasil,Bahamas,2009,,
14,Vinhos de mesa,,Brasil,Bangladesh,2009,,
15,Vinhos de mesa,,Brasil,Barbados,2009,,
16,Vinhos de mesa,,Brasil,Barein,2009,,
17,Vinhos de mesa,,Brasil,Bélgica,2009,125962.0,58764.0
18,Vinhos de mesa,,Brasil,Belice,2009,,
19,Vinhos de mesa,,Brasil,Benin,2009,,
20,Vinhos de mesa,,Brasil,Bermudas,2009,,
21,Vinhos de mesa,,Brasil,Bolívia,2009,40463.0,20729.0
22,Vinhos de mesa,,Brasil,Bósnia-Herzegovina,2009,,
23,Vinhos de mesa,,Brasil,Brasil,2009,,
24,Vinhos de mesa,,Brasil,Bulgária,2009,,
25,Vinhos de mesa,,Brasil,Cabo Verde,2009,,
26,Vinhos de mesa,,Brasil,Camarões,2009,,
27,Vinhos de mesa,,Brasil,Canadá,2009,15664.0,73445.0
28,Vinhos de mesa,,Brasil,Catar,2009,,
29,Vinhos de mesa,,Brasil,"Cayman, Ilhas",2009,,
30,Vinhos de mesa,,Brasil,Chile,2009,1475.0,4297.0
31,Vinhos de mesa,,Brasil,China,2009,1553416.0,482400.0
32,Vinhos de mesa,,Brasil,Chipre,2009,,
33,Vinhos de mesa,,Brasil,Cingapura,2009,2419.0,6110.0
34,Vinhos de mesa,,Brasil,"Cocos (Keeling), Ilhas",2009,,
35,Vinhos de mesa,,Brasil,Colômbia,2009,,
36,Vinhos de mesa,,Brasil,Comores,2009,,
37,Vinhos de mesa,,Brasil,Congo,2009,,
38,Vinhos de mesa,,Brasil,"Coreia, Republica Sul",2009,,
39,Vinhos de mesa,,Brasil,Costa do Marfim,2009,,
40,Vinhos de mesa,,Brasil,Costa Rica,2009,,
41,Vinhos de mesa,,Brasil,Coveite (Kuweit),2009,,
42,Vinhos de mesa,,Brasil,Croácia,2009,,
43,Vinhos de mesa,,Brasil,Cuba,2009,,
44,Vinhos de mesa,,Brasil,Curaçao,2009,,
45,Vinhos de mesa,,Brasil,Dinamarca,2009,1980.0,21780.0
46,Vinhos de mesa,,Brasil,Dominica,2009,,
47,Vinhos de mesa,,Brasil,El Salvador,2009,55.0,100.0
48,Vinhos de mesa,,Brasil,Emirados Arabes Unidos,2009,1398.0,4032.0
49,Vinhos de mesa,,Brasil,Equador,2009,,
50,Vinhos de mesa,,Brasil,"Eslovaca, Republica",2009,,
51,Vinhos de mesa,,Brasil,Espanha,2009,2181.0,4050.0
52,Vinhos de mesa,,Brasil,Estados Unidos,2009,372319.0,660066.0
53,Vinhos de mesa,,Brasil,Estônia,2009,5438.0,10802.0
54,Vinhos de mesa,,Brasil,Filipinas,2009,,
55,Vinhos de mesa,,Brasil,Finlândia,2009,,
56,Vinhos de mesa,,Brasil,França,2009,,
57,Vinhos de mesa,,Brasil,Gabão,2009,,
58,Vinhos de mesa,,Brasil,Gana,2009,,
59,Vinhos de mesa,,Brasil,Gibraltar,2009,,
60,Vinhos de mesa,,Brasil,Granada,2009,,
61,Vinhos de mesa,,Brasil,Grécia,2009,,
62,Vinhos de mesa,,Brasil,Guatemala,2009,20.0,20.0
63,Vinhos de mesa,,Brasil,Guiana,2009,,
64,Vinhos de mesa,,Brasil,Guiana Francesa,2009,,
65,Vinhos de mesa,,Brasil,Guine Bissau,2009,,
66,Vinhos de mesa,,Brasil,Guine Equatorial,2009,169.0,272.0
67,Vinhos de mesa,,Brasil,Haiti,2009,4500.0,5863.0
68,Vinhos de mesa,,Brasil,Honduras,2009,14.0,30.0
69,Vinhos de mesa,,Brasil,Hong Kong,2009,50319.0,27188.0
70,Vinhos de mesa,,Brasil,Hungria,2009,,
71,Vinhos de mesa,,Brasil,Ilha de Man,2009,,
72,Vinhos de mesa,,Brasil,Ilhas Virgens,2009,,
73,Vinhos de mesa,,Brasil,Índia,2009,,
74,Vinhos de mesa,,Brasil,Indonésia,2009,,
75,Vinhos de mesa,,Brasil,Irã,2009,,
76,Vinhos de mesa,,Brasil,Iraque,2009,,
77,Vinhos de mesa,,Brasil,Irlanda,2009,,
78,Vinhos de mesa,,Brasil,Itália,2009,1817.0,5251.0
79,Vinhos de mesa,,Brasil,Jamaica,2009,,
80,Vinhos de mesa,,Brasil,Japão,2009,217974.0,283436.0
81,Vinhos de mesa,,Brasil,Jordânia,2009,,
82,Vinhos de mesa,,Brasil,Letônia,2009,,
83,Vinhos de mesa,,Brasil,Líbano,2009,,
84,Vinhos de mesa,,Brasil,Libéria,2009,,
85,Vinhos de mesa,,Brasil,Luxemburgo,2009,7845.0,42124.0
86,Vinhos de mesa,,Brasil,Macau,2009,,
87,Vinhos de mesa,,Brasil,Malásia,2009,,
88,Vinhos de mesa,,Brasil,Malavi,2009,,
89,Vinhos de mesa,,Brasil,Malta,2009,,
90,Vinhos de mesa,,Brasil,"Marshall, Ilhas",2009,,
91,Vinhos de mesa,,Brasil,Martinica,2009,,
92,Vinhos de mesa,,Brasil,Mauritânia,2009,,
93,Vinhos de mesa,,Brasil,México,2009,,
94,Vinhos de mesa,,Brasil,Moçambique,2009,,
95,Vinhos de mesa,,Brasil,Montenegro,2009,,
96,Vinhos de mesa,,Brasil,Namíbia,2009,,
97,Vinhos de mesa,,Brasil,Nicarágua,2009,24.0,24.0
98,Vinhos de mesa,,Brasil,Nigéria,2009,41.0,115.0
99,Vinhos de mesa,,Brasil,Noruega,2009,,
100,Vinhos de mesa,,Brasil,Nova Caledônia,2009,,
101,Vinhos de mesa,,Brasil,Nova Zelândia,2009,,
102,Vinhos de mesa,,Brasil,Omã,2009,,
103,Vinhos de mesa,,Brasil,Países Baixos,2009,171654.0,136991.0
104,Vinhos de mesa,,Brasil,Palau,2009,,
105,Vinhos de mesa,,Brasil,Panamá,2009,24.0,30.0
