,categoria,países,quantidade (kg),valor (us$)
0,,África do Sul,-,-
1,,"Alemanha, República Democrática da",13,4
2,,Angola,6.073,5.915
3,,Antígua e Barbuda,120,168
4,,Antilhas Holandesas,-,-
5,,Arábia Saudita,-,-
6,,Argélia,-,-
7,,Argentina,7.325,12.515
8,,Aruba,-,-
9,,Austrália,43.971,67.168
10,,Áustria,-,-
11,,Bahamas,542,662
12,,Bangladesh,-,-
13,,Barbados,75,192
14,,Barein,-,-
15,,Bélgica,-,-
16,,Belize,-,-
17,,Benin,-,-
18,,Bermudas,-,-
19,,Birmânia,-,-
20,,Bolívia,15.700,19.860
21,,Brasil,-,-
22,,Bulgária,-,-
23,,Cabo Verde,-,-
24,,Camarões,-,-
25,,Canadá,4.476,5.709
26,,Catar,-,-
27,,"Cayman, Ilhas",-,-
28,,Chile,16.845,19.418
29,,China,667.684,1.182.122
30,,Chipre,224,232
31,,Cingapura,-,-
32,,Colômbia,11.082,14.051
33,,Congo,-,-
34,,Coreia do Sul,-,-
35,,Costa do Marfim,-,-
36,,Costa Rica,2.160,1.440
37,,Coveite,10.038,14.424
38,,Cuba,-,-
39,,Curaçao,1.050,1.641
40,,Dinamarca,206,294
41,,"Dominica, Ilha de",-,-
42,,El Salvador,-,-
43,,Emirados Árabes Unidos,1.548,2.383
44,,Equador,-,-
45,,Espanha,-,-
46,,Estados Unidos,702.976,1.381.158
47,,Falkland (Malvinas),-,-
48,,Filipinas,64,109
49,,Finlândia,-,-
50,,França,-,-
51,,Gabão,-,-
52,,Gana,-,-
53,,Gibraltar,108,247
54,,Granada,-,-
55,,Grécia,10,16
56,,Guatemala,-,-
57,,Guiana,24,38
58,,Guiana Francesa,396,474
59,,Guiné Bissau,-,-
60,,Guine Equatorial,-,-
61,,Haiti,4.818,4.706
62,,Hong Kong,2.010,2.564
63,,Hungria,-,-
64,,Ilha de Man,14,60
65,,India,258,360
66,,Indonésia,-,-
67,,Irã,5,84
68,,Iraque,-,-
69,,Irlanda,-,-
70,,Israel,-,-
71,,Itália,4.968,14.205
72,,Iugoslâvia,-,-
73,,Jamaica,-,-
74,,Japão,950.486,2.082.222
75,,Líbano,14.880,23.946
76,,Libéria,878,1.123
77,,Líbia,285.756,476.853
78,,Luxemburgo,130,430
79,,Malásia,-,-
80,,Malta,1.500,2.360
81,,"Marshall, Ilhas",4.282,6.165
82,,Mauritânia,-,-
83,,México,8.829,21.188
84,,Moçambique,477,441
85,,Mônaco,-,-
86,,Montenegro,12,12
87,,Namíbia,-,-
88,,Nigéria,-,-
89,,Noruega,592,1.328
90,,Nova Caledônia,924,1.095
91,,Nova Zelândia,-,-
92,,Países Baixos,7.194,23.063
93,,Panamá,3.376,5.698
94,,Paquistão,-,-
95,,Paraguai,233.881,253.691
96,,Peru,-,-
97,,Polônia,-,-
98,,Porto Rico,24.380,53.636
99,,Portugal,222.502,164.783
100,,Quênia,-,-
101,,Reino Unido,8.829,16.213
102,,República Centro Africana,-,-
103,,República Dominicana,27.825,84.068
104,,República Federativa da Rússia,-,-
105,,Rússia,-,-
106,,São Tomé e Príncipe,-,-
107,,Senegal,-,-
108,,Serra Leoa,-,-
109,,Singapura,2.020,3.510
110,,Sri Lanka,-,-
111,,Suécia,-,-
112,,Suíça,276,826
113,,Suriname,5.300,17.596
114,,Tailândia,2,4
115,,Taiwan (Formosa),60.813,122.005
116,,Tanzânia,-,-
117,,"Tcheca, República",-,-
118,,Togo,-,-
119,,Toquelau,-,-
120,,Trinidade e Tobago,-,-
121,,Turquia,-,-
122,,Uruguai,-,-
123,,Vanuatu,12,8
124,,Venezuela,-,-
