,categoria,países,quantidade (kg),valor (us$)
0,,África do Sul,-,-
1,,Alemanha,4.092,21.373
2,,Angola,63,280
3,,Antigua e Barbuda,-,-
4,,Antilhas Holandesas,-,-
5,,Argentina,4.342,17.243
6,,Aruba,18,7
7,,Australia,-,-
8,,Bahamas,5,17
9,,Bangladesh,-,-
10,,Barbados,-,-
11,,Belgica,1.800,10.555
12,,Benin,-,-
13,,Bermudas,-,-
14,,Bolívia,5.891,25.277
15,,Bósnia-Herzegovina,-,-
16,,Bulgaria,-,-
17,,Cabo Verde,-,-
18,,Camarões,90,284
19,,Canada,23,94
20,,Catar,-,-
21,,"Cayman, Ilhas",-,-
22,,Chile,25.481,208.521
23,,China,19.490,58.871
24,,Chipre,-,-
25,,Cingapura,47.214,135.547
26,,Colombia,2.309,8.637
27,,"Coreia do Sul, Republica da",3,15
28,,Costa Rica,-,-
29,,Cuba,1,2
30,,Curaçao,801,2.256
31,,Dinamarca,662,3.530
32,,Djibuti,-,-
33,,Dominica,-,-
34,,El Salvador,1,10
35,,Emirados Arabes Unidos,-,-
36,,Equador,-,-
37,,Espanha,2.271,9.453
38,,Estados Unidos,28.542,172.961
39,,Estonia,-,-
40,,Falkland (Malvinas),-,-
41,,Filipinas,-,-
42,,Filânldia,-,-
43,,França,2.163,9.147
44,,Gana,-,-
45,,Gibraltar,-,-
46,,Granada,-,-
47,,Grécia,63,391
48,,Guatemala,206,1.052
49,,Guiana,-,-
50,,Guiné Equatorial,-,-
51,,Guiné-Bissau,-,-
52,,Haiti,-,-
53,,Honduras,-,-
54,,Hong Kong,225,1.704
55,,Hungria,-,-
56,,Ilha de Man,-,-
57,,Índia,-,-
58,,Iraque,-,-
59,,Irlanda,-,-
60,,Islândia,-,-
61,,Itália,1.307,5.331
62,,Japão,7.853,34.532
63,,Jordânia,-,-
64,,Letônia,-,-
65,,Líbano,-,-
66,,Libéria,300,444
67,,Luxemburgo,113,655
68,,Maldivas,-,-
69,,Malta,-,-
70,,Marrocos,-,-
71,,"Marshall, Ilhas",158,604
72,,Montenegro,-,-
73,,México,737,2.476
74,,Nicarágua,-,-
75,,Nigéria,976,4.029
76,,Noruega,81,300
77,,Nova Zelândia,15,168
78,,Países Baixos (Holanda),-,-
79,,Panamá,319,740
80,,Paraguai,92.114,205.510
81,,Peru,1.577,6.379
82,,Polônia,23.099,73.608
83,,Porto Rico,100,1.512
84,,Portugal,1.552,23.255
85,,Quênia,-,-
86,,Reino Unido,14.626,72.651
87,,Republica Dominicana,-,-
88,,Republica Tcheca,-,-
89,,Rússia,47.765,18.240
90,,Serra Leoa,-,-
91,,Sérvia,-,-
92,,Singapura,-,-
93,,Suécia,54,218
94,,Suíça,-,-
95,,Suriname,-,-
96,,Tailândia,-,-
97,,Taiwan (Formosa),-,-
98,,"Tcheca, República",-,-
99,,Togo,-,-
100,,Trinidade e Tobago,-,-
101,,Turquia,-,-
102,,Uruguai,9.265,34.039
103,,Vanuatu,-,-
104,,Venezuela,5,10
105,,Vietnã,-,-
106,,Outros(1),-,-
