,categoria,países,quantidade (kg),valor (us$)
0,,Afeganistão,-,-
1,,África do Sul,-,-
2,,"Alemanha, República Democrática",8.189,56.342
3,,Angola,2.833,8.861
4,,Anguilla,-,-
5,,Antígua e Barbuda,-,-
6,,Antilhas Holandesas,9.247,14.081
7,,Arábia Saudita,-,-
8,,Argélia,-,-
9,,Argentina,-,-
10,,Aruba,-,-
11,,Austrália,9.345,56.045
12,,Áustria,-,-
13,,Bahamas,1.374,12.087
14,,Bangladesh,-,-
15,,Barbados,-,-
16,,Barein,-,-
17,,Bélgica,16.132,90.718
18,,Belice,-,-
19,,Benin,-,-
20,,Bermudas,-,-
21,,Bolívia,11.868,16.804
22,,Bósnia-Herzegovina,-,-
23,,Brasil,-,-
24,,Bulgária,-,-
25,,Cabo Verde,-,-
26,,Camarões,-,-
27,,Canadá,14.304,146.035
28,,Catar,-,-
29,,"Cayman, Ilhas",-,-
30,,Chile,8.550,15.438
31,,China,87.905,642.177
32,,Chipre,-,-
33,,Cingapura,1.212,5.310
34,,"Cocos (Keeling), Ilhas",-,-
35,,Colômbia,-,-
36,,Comores,-,-
37,,Congo,-,-
38,,"Coreia, Republica Sul",-,-
39,,Costa do Marfim,-,-
40,,Costa Rica,-,-
41,,Coveite (Kuweit),-,-
42,,Croácia,-,-
43,,Cuba,-,-
44,,Curaçao,-,-
45,,Dinamarca,4.716,23.802
46,,Dominica,-,-
47,,El Salvador,-,-
48,,Emirados Arabes Unidos,675,3.300
49,,Equador,-,-
50,,"Eslovaca, Republica",-,-
51,,Espanha,-,-
52,,Estados Unidos,146.585,303.986
53,,Estônia,3.321,19.384
54,,Filipinas,-,-
55,,Finlândia,17.100,67.959
56,,França,195.604,185.791
57,,Gabão,-,-
58,,Gana,-,-
59,,Gibraltar,-,-
60,,Granada,-,-
61,,Grécia,-,-
62,,Guatemala,-,-
63,,Guiana,-,-
64,,Guiana Francesa,-,-
65,,Guine Bissau,-,-
66,,Guine Equatorial,819,2.530
67,,Haiti,-,-
68,,Honduras,-,-
69,,Hong Kong,1.609,7.653
70,,Hungria,-,-
71,,Ilha de Man,-,-
72,,Ilhas Virgens,-,-
73,,Índia,-,-
74,,Indonésia,-,-
75,,Irã,-,-
76,,Iraque,-,-
77,,Irlanda,-,-
78,,Itália,792,5.622
79,,Jamaica,-,-
80,,Japão,29.281,116.961
81,,Jordânia,-,-
82,,Letônia,-,-
83,,Líbano,-,-
84,,Libéria,-,-
85,,Luxemburgo,2.444,16.547
86,,Macau,-,-
87,,Malásia,-,-
88,,Malavi,-,-
89,,Malta,-,-
90,,"Marshall, Ilhas",-,-
91,,Martinica,-,-
92,,Mauritânia,-,-
93,,México,-,-
94,,Moçambique,-,-
95,,Montenegro,-,-
96,,Namíbia,-,-
97,,Nicarágua,-,-
98,,Nigéria,6.449,10.196
99,,Noruega,5.104,31.515
100,,Nova Caledônia,-,-
101,,Nova Zelândia,2.364,8.817
102,,Omã,-,-
103,,Países Baixos,134.879,539.641
104,,Palau,-,-
105,,Panamá,39,2.262
106,,Paraguai,354.824,428.279
107,,Peru,-,-
108,,Pitcairn,-,-
109,,Polônia,21.663,89.158
110,,Porto Rico,-,-
111,,Portugal,47.172,47.022
112,,Quênia,94,458
113,,Reino Unido,82.937,334.856
114,,República Dominicana,-,-
115,,Rússia,4.528.176,2.103.968
116,,São Cristóvão e Névis,-,-
117,,São Tomé e Príncipe,-,-
118,,São Vicente e Granadinas,-,-
119,,Senegal,-,-
120,,Serra Leoa,-,-
121,,Sérvia,-,-
122,,Singapura,-,-
123,,Suazilândia,-,-
124,,Suécia,2.705,17.280
125,,Suíça,4.014,47.240
126,,Suriname,396,1.288
127,,Tailândia,-,-
128,,Taiwan (Formosa),-,-
129,,Tanzânia,-,-
130,,"Tcheca, República",7.960,27.789
131,,Togo,-,-
132,,Toquelau,-,-
133,,Trinidade Tobago,531,2.720
134,,Tunísia,-,-
135,,Turquia,-,-
136,,Tuvalu,-,-
137,,Uruguai,1.135,3.879
138,,Vanuatu,-,-
139,,Venezuela,1.029,7.492
140,,Vietnã,-,-
