,categoria,países,quantidade (kg),valor (us$)
0,,Africa do Sul,4.913,23.919
1,,Alemanha,4.819,37.116
2,,Argentina,661.857,2.249.681
3,,Austrália,19.198,51.731
4,,Áustria,-,-
5,,Bermudas,-,-
6,,Bahamas,519,11.136
7,,Bélgica,923,50.574
8,,Brasil,6.166,180.512
9,,Bulgária,3,716
10,,Canada,-,-
11,,Chile,304.391,1.350.744
12,,Croácia,-,-
13,,Cuba,-,-
14,,Emirados Árabes Unidos,-,-
15,,Eslovênia,2.093,10.110
16,,Espanha,1.493.908,5.592.839
17,,Estados Unidos,8.408,226.792
18,,França,1.778.528,14.966.946
19,,Geórgia,-,-
20,,Granada,-,-
21,,Grécia,156,277
22,,Hong Kong,-,-
23,,Hungria,1.624,6.960
24,,Indonésia,-,-
25,,Irlanda,-,-
26,,Israel,-,-
27,,Itália,3.065.767,5.635.842
28,,Japão,-,-
29,,Luxemburgo,-,-
30,,México,-,-
31,,Moldávia,-,-
32,,Nova Zelândia,-,-
33,,Países Baixos,-,-
34,,Panamá,-,-
35,,Peru,-,-
36,,Portugal,123.786,492.083
37,,Reino Unido,350,2.424
38,,Romênia,-,-
39,,Suíça,-,-
40,,Tunísia,-,-
41,,Ucrânia,-,-
42,,Uruguai,1.080,7.920
43,,Não consta na tabela,-,-
44,,Não declarados,-,-
45,,Outros,-,-
