,categoria,países,quantidade (kg),valor (us$)
0,,Africa do Sul,67.758,68.254
1,,Alemanha,-,-
2,,Argentina,-,-
3,,Austria,-,-
4,,Canadá,-,-
5,,"Coreia do Sul, República",176.796,227.252
6,,"Coreia do Norte, República",-,-
7,,Chile,-,-
8,,China,-,-
9,,Dinamarca,-,-
10,,Espanha,9.588,8.215
11,,Estados Unidos,32.044,34.722
12,,França,-,-
13,,Guiana,-,-
14,,Israel,2.528,4.831
15,,itália,771.457,408.318
16,,Japão,-,-
17,,Líbano,-,-
18,,México,-,-
19,,Países Baixos,-,-
20,,Panamá,-,-
21,,Peru,-,-
22,,Portugal,-,-
23,,Reino Unido,-,-
24,,Taiwan,3.672,2.328
25,,Turquia,-,-
26,,Uruguai,-,-
27,,Venezuela,-,-
28,,Outros,-,-
