,categoria,países,quantidade (kg),valor (us$)
0,,Afeganistão,18.000,28.050
1,,África do Sul,700.846,2.037.012
2,,"Alemanha, República Democrática",-,-
3,,Arábia Saudita,-,-
4,,Argentina,17.279.688,34.499.504
5,,Austrália,-,-
6,,Bélgica,-,-
7,,Chile,814.720,1.660.791
8,,China,-,-
9,,China Continental,19.000,39.520
10,,Cingapura,-,-
11,,Costa Rica,-,-
12,,Emirados,20.000,44.949
13,,Egito,-,-
14,,Espanha,-,-
15,,Estados Unidos,526.225,1.274.258
16,,França,-,-
17,,Grécia,-,-
18,,Guiana Britânica,-,-
19,,Índia,-,-
20,,Irã,4.112.310,6.968.914
21,,Itália,-,-
22,,Japão,-,-
23,,México,-,-
24,,Países Baixos,-,-
25,,Paraguai,-,-
26,,Peru,-,-
27,,Portugal,-,-
28,,Reino Unido,-,-
29,,Suécia,-,-
30,,Turquia,2.428.575,4.111.212
31,,Uruguai,-,-
32,,Uzbequistão,-,-
33,,Venezuela,-,-
34,,Não consta na tabela,-,-
35,,Outros,-,-
