,categoria,países,quantidade (kg),valor (us$)
0,,Africa do Sul,507.509,2.136.394
1,,Alemanha,198.025,933.545
2,,Argélia,-,-
3,,Arábia Saudita,-,-
4,,Argentina,16.673.491,58.806.736
5,,Armênia,-,-
6,,Austrália,824.440,2.811.273
7,,Áustria,6.357,56.227
8,,Bermudas,-,-
9,,Bélgica,-,-
10,,Bolívia,-,-
11,,Bósnia-Herzegovina,-,-
12,,Brasil,93,1.164
13,,Bulgária,1.097,2.527
14,,Canada,2.322,35.032
15,,Chile,26.642.889,84.952.500
16,,China,-,-
17,,"Coreia do Sul, República",-,-
18,,Croácia,450,12.388
19,,Cuba,-,-
20,,Emirados Árabes Unidos,-,-
21,,Eslovênia,3.600,62.602
22,,Eslováquia,-,-
23,,Espanha,1.999.970,11.175.636
24,,Estados Unidos,369.806,1.756.901
25,,França,3.329.437,22.917.012
26,,Geórgia,-,-
27,,"Geórgia do Sul e Sandwich do Sul, Ilhas",-,-
28,,Grécia,82.207,414.329
29,,Hong Kong,-,-
30,,Hungria,15.073,256.240
31,,Indonésia,-,-
32,,Irlanda,-,-
33,,Israel,16.382,68.676
34,,Itália,12.025.827,35.481.781
35,,Japão,-,-
36,,Iugoslávia,-,-
37,,Líbano,17.685,137.954
38,,Luxemburgo,-,-
39,,Macedônia,-,-
40,,Marrocos,-,-
41,,México,-,-
42,,Moldávia,-,-
43,,Montenegro,-,-
44,,Noruega,-,-
45,,Nova Zelândia,151.194,1.267.863
46,,Países Baixos (Holanda),-,-
47,,Panamá,-,-
48,,Paraguai,-,-
49,,Peru,-,-
50,,Porto Rico,-,-
51,,Portugal,8.556.375,35.247.223
52,,Reino Unido,270,6.021
53,,Republica Dominicana,-,-
54,,Romênia,-,-
55,,Rússia,-,-
56,,San Marino,-,-
57,,Sérvia,-,-
58,,Síria,-,-
59,,Suazilândia,-,-
60,,Suíça,-,-
61,,"Tcheca, República",-,-
62,,Tunísia,16.420,37.492
63,,Turquia,-,-
64,,Ucrânia,-,-
65,,Uruguai,1.264.306,3.481.552
66,,Não consta na tabela,-,-
67,,Não declarados,-,-
68,,Outros,-,-
